category,name,url,description
Work Management & Project Management Tools,Asana,https://asana.com,
Work Management & Project Management Tools,Trello,https://trello.com,
Work Management & Project Management Tools,Monday.com,https://monday.com,
Work Management & Project Management Tools,Jira,https://www.atlassian.com/software/jira,
Work Management & Project Management Tools,Basecamp,https://basecamp.com,
Work Management & Project Management Tools,ClickUp,https://clickup.com,
Work Management & Project Management Tools,Notion,https://www.notion.com,
Work Management & Project Management Tools,Airtable,https://airtable.com,
Work Management & Project Management Tools,Smartsheet,https://smartsheet.com,
Work Management & Project Management Tools,Wrike,https://wrike.com,
Work Management & Project Management Tools,Teamwork,https://teamwork.com,
Marketing Tools & Resources,Google Analytics,https://marketingplatform.google.com/about/analytics,
Marketing Tools & Resources,Google Ads,https://ads.google.com,
Marketing Tools & Resources,Mailchimp,https://mailchimp.com,
Marketing Tools & Resources,Hootsuite,https://hootsuite.com,
Marketing Tools & Resources,Buffer,https://buffer.com,
Marketing Tools & Resources,SEMrush,https://semrush.com,
Marketing Tools & Resources,Ahrefs,https://ahrefs.com,
Marketing Tools & Resources,Moz,https://moz.com,
Marketing Tools & Resources,Canva,https://www.canva.com,
Marketing Tools & Resources,BuzzSumo,https://buzzsumo.com,
Finance & Accounting,QuickBooks,https://quickbooks.intuit.com,
Finance & Accounting,Xero,https://www.xero.com,
Finance & Accounting,FreshBooks,https://www.freshbooks.com,
Finance & Accounting,Wave,https://www.waveapps.com,
Finance & Accounting,Zoho Books,https://www.zoho.com/books,
Finance & Accounting,Expensify,https://www.expensify.com,
Finance & Accounting,Bill.com,https://www.bill.com,
Finance & Accounting,Stripe,https://stripe.com,
Finance & Accounting,Sage Business Cloud Accounting,https://www.sage.com,
Finance & Accounting,Oracle NetSuite,https://www.netsuite.com,
Human Resources & Hiring,LinkedIn,https://www.linkedin.com,
Human Resources & Hiring,Indeed,https://www.indeed.com,
Human Resources & Hiring,Glassdoor,https://www.glassdoor.com,
Human Resources & Hiring,BambooHR,https://www.bamboohr.com,
Human Resources & Hiring,Workday,https://www.workday.com,
Human Resources & Hiring,Gusto,https://gusto.com,
Human Resources & Hiring,Lever,https://www.lever.co,
Human Resources & Hiring,Greenhouse,https://www.greenhouse.io,
Legal & Compliance,DocuSign,https://www.docusign.com,
Legal & Compliance,Dropbox Sign (HelloSign),https://sign.dropbox.com,
Legal & Compliance,LegalZoom,https://www.legalzoom.com,
Legal & Compliance,Rocket Lawyer,https://www.rocketlawyer.com,
Legal & Compliance,Clerky,https://www.clerky.com,
Legal & Compliance,Stripe Atlas,https://stripe.com/atlas,
Legal & Compliance,Termly,https://termly.io,
Productivity & Time Management,Slack,https://slack.com,
Productivity & Time Management,Zoom,https://zoom.us,
Productivity & Time Management,Google Workspace,https://workspace.google.com,
Productivity & Time Management,Microsoft Teams,https://www.microsoft.com/microsoft-teams,
Productivity & Time Management,Evernote,https://evernote.com,
Productivity & Time Management,Todoist,https://todoist.com,
Productivity & Time Management,Calendly,https://calendly.com,
Productivity & Time Management,Toggl,https://toggl.com,
Productivity & Time Management,Clockwise,https://www.getclockwise.com,
Productivity & Time Management,Loom,https://www.loom.com,
Sales & CRM Tools,Salesforce,https://www.salesforce.com,
Sales & CRM Tools,HubSpot,https://www.hubspot.com,
Sales & CRM Tools,Pipedrive,https://www.pipedrive.com,
Sales & CRM Tools,Zoho CRM,https://www.zoho.com/crm,
Sales & CRM Tools,Microsoft Dynamics 365,https://dynamics.microsoft.com,
Sales & CRM Tools,Freshsales (Freshworks CRM),https://www.freshworks.com/freshsales,
Sales & CRM Tools,Copper,https://copper.com,
Sales & CRM Tools,Insightly,https://www.insightly.com,
Customer Support & Engagement,Zendesk,https://www.zendesk.com,
Customer Support & Engagement,Intercom,https://www.intercom.com,
Customer Support & Engagement,Freshdesk,https://www.freshdesk.com,
Customer Support & Engagement,Help Scout,https://www.helpscout.com,
Customer Support & Engagement,LiveChat,https://www.livechat.com,
Customer Support & Engagement,Drift,https://www.drift.com,
Customer Support & Engagement,Front,https://front.com,
Customer Support & Engagement,Zoho Desk,https://www.zoho.com/desk,
Business Education & Growth Resources,Coursera,https://www.coursera.org,
Business Education & Growth Resources,edX,https://www.edx.org,
Business Education & Growth Resources,Udemy,https://www.udemy.com,
Business Education & Growth Resources,LinkedIn Learning,https://www.linkedin.com/learning,
Business Education & Growth Resources,Skillshare,https://www.skillshare.com,
Business Education & Growth Resources,Khan Academy,https://www.khanacademy.org,
Business Education & Growth Resources,Y Combinator Startup School,https://www.startupschool.org,
Business Education & Growth Resources,SBA Learning Platform (U.S. Small Business Administration),https://www.sba.gov/learning,
Business Education & Growth Resources,SCORE (Small Business Mentoring & Education),https://www.score.org,
Business Education & Growth Resources,Indie Hackers,https://www.indiehackers.com,
Business Education & Growth Resources,Product Hunt,https://www.producthunt.com,
Analytics & Business Intelligence Tools,Tableau,https://www.tableau.com,
Analytics & Business Intelligence Tools,Power BI,https://powerbi.microsoft.com,
Analytics & Business Intelligence Tools,Looker,https://looker.com,
Analytics & Business Intelligence Tools,Google Data Studio,https://marketingplatform.google.com/about/data-studio,
Analytics & Business Intelligence Tools,Metabase,https://www.metabase.com,
